Order,Family,Species,"FishBase name",Occurrence,"Name(s) in Territory",Pictures
Cypriniformes,Cyprinidae,"Barbodes belinka",,native,,"No picture yet."
Cypriniformes,Cyprinidae,"Barbodes binotatus","Spotted barb",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Pubin_u0.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Barbodes dunckeri","Bigspot barb",endemic,,"No picture yet."
Cypriniformes,Cyprinidae,"Barbodes everetti","Clown barb",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Pueve_j1.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Barbodes kuchingensis",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Pukuc_u0.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Barbodes rhombeus",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Barho_u1.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Barbodes strigatus",,native,,"No picture yet."
Cypriniformes,Cyprinidae,"Barbodes sunieri",,native,,"No picture yet."
Cypriniformes,Cyprinidae,"Barbonymus balleroides",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Babal_u0.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Barbonymus collingwoodii",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Bacol_u0.gif"", ""Open image"")"
Cypriniformes,Cyprinidae,"Barbonymus gonionotus","Silver barb",introduced,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bagon_u0.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Barbonymus schwanefeldii","Tinfoil barb",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Basch_u4.jpg"", ""Open image"")"
Cypriniformes,Barbuccidae,"Barbucca diabolica","Fire-eyed loach",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Badia_f0.gif"", ""Open image"")"
Siluriformes,Bagridae,"Batasio fluviatilis",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Baflu_u0.jpg"", ""Open image"")"
Gadiformes,Bathygadidae,"Bathygadus spongiceps","Spongy rat tail",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Baspo_u0.jpg"", ""Open image"")"
Gobiiformes,Gobiidae,"Bathygobius fuscus","Dusky frillgoby",native,"Malay : Belodok rabuk","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bafus_u1.jpg"", ""Open image"")"
Myliobatiformes,Dasyatidae,"Bathytoshia lata","Brown stingray",native,"Malay : Pari ekor duri","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dalat_u0.jpg"", ""Open image"")"
Siluriformes,Ariidae,"Batrachocephalus mino","Beardless sea catfish",native,"Malay : Duri mino","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bamin_u1.jpg"", ""Open image"")"
Batrachoidiformes,Batrachoididae,"Batrachomoeus trispinosus","Three-spined frogfish",native,"Malay : Gedempu duri","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Batri_u1.jpg"", ""Open image"")"
Siluriformes,Siluridae,"Belodontichthys dinema",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bedin_u0.jpg"", ""Open image"")"
Perciformes/Serranoidei,Liopropomatidae,"Belonoperca chabanaudi","Arrowhead soapfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Becha_u7.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Belontia hasselti","Malay combtail",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Behas_u0.jpg"", ""Open image"")"
Scombriformes,Trichiuridae,"Benthodesmus suluensis","Philippine frostfish",native,"Malay : Timah-kabut sulu","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Besul_u0.gif"", ""Open image"")"
Scombriformes,Trichiuridae,"Benthodesmus tenuis","Slender frostfish",native,"Malay : Timah-kabut lampai","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Beten_u0.jpg"", ""Open image"")"
Scombriformes,Trichiuridae,"Benthodesmus vityazi","Vityaz' frostfish",native,"Malay : Timah-kabut lang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bevit_u0.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta akarensis","Akar betta",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Beaka_m0.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta balunga",,native,,"No picture yet."
Anabantiformes,Osphronemidae,"Betta bellica","Slim betta",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bebel_u4.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta brownorum",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bebro_u0.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Betta chini",,endemic,,"No picture yet."
